GEOID,Year,RegionName,State,population,poverty.rate,renter.occupied.households,pct.renter.occupied,median.gross.rent,median.household.income,median.property.value,rent.burden,pct.white,pct.af.am,pct.hispanic,pct.am.ind,pct.asian,pct.nh.pi,pct.multiple,pct.other,eviction.filings,evictions,eviction.rate,eviction.filing.rate,low.flag,imputed,subbed,RegionID,SizeRank,RegionType,Metro,StateCodeFIPS,MunicipalCodeFIPS,ZHVI
2100,2016,Haines Borough,Alaska,2560,1.32,342,30.95,868,58750,211400,22.9,79.57,0.04,1.52,6.37,3.01,0,9.49,0,0,0,0,0,0,0,1,1073,3112,county,,2,100,0
1001,2008,Autauga County,Alabama,49584,7.52,4593,22.45,779,51463,130700,27.2,77.92,17.8,2.04,0.37,0.62,0,1.13,0.11,134,79,1.72,2.92,0,0,0,1524,904,county,"Montgomery, AL",1,1,1957993.489
1001,2009,Autauga County,Alabama,49584,7.52,4783,22.45,779,51463,130700,27.2,77.92,17.8,2.04,0.37,0.62,0,1.13,0.11,111,56,1.17,2.32,0,0,0,1524,904,county,"Montgomery, AL",1,1,1908526.012
1001,2011,Autauga County,Alabama,55221,9.28,5040,26.08,883,51281,141300,32.8,75.78,18.54,2.61,0.42,0.97,0.01,1.53,0.14,120,69,1.37,2.38,0,0,0,1524,904,county,"Montgomery, AL",1,1,1771719.315
1001,2012,Autauga County,Alabama,55221,9.28,5107,26.08,883,51281,141300,32.8,75.78,18.54,2.61,0.42,0.97,0.01,1.53,0.14,175,101,1.98,3.43,0,0,0,1524,904,county,"Montgomery, AL",1,1,1779734.674
1001,2013,Autauga County,Alabama,55221,9.28,5174,26.08,883,51281,141300,32.8,75.78,18.54,2.61,0.42,0.97,0.01,1.53,0.14,184,117,2.26,3.56,0,0,0,1524,904,county,"Montgomery, AL",1,1,1823698.983
1001,2014,Autauga County,Alabama,55221,9.28,5240,26.08,883,51281,141300,32.8,75.78,18.54,2.61,0.42,0.97,0.01,1.53,0.14,152,86,1.64,2.9,0,0,0,1524,904,county,"Montgomery, AL",1,1,1856479.346
1001,2015,Autauga County,Alabama,55221,9.28,5307,26.08,883,51281,141300,32.8,75.78,18.54,2.61,0.42,0.97,0.01,1.53,0.14,147,88,1.66,2.77,0,0,0,1524,904,county,"Montgomery, AL",1,1,1912988.314
1001,2016,Autauga County,Alabama,55221,9.28,5374,26.08,883,51281,141300,32.8,75.78,18.54,2.61,0.42,0.97,0.01,1.53,0.14,154,116,2.16,2.87,0,0,0,1524,904,county,"Montgomery, AL",1,1,1958225.968
1003,2005,Baldwin County,Alabama,171997,8.84,15715,22.54,788,48918,173100,29.6,85.11,9.8,2.9,0.56,0.57,0,0.99,0.07,500,268,1.71,3.18,0,0,0,1525,302,county,"Daphne-Fairhope-Foley, AL",1,3,2272455.74
1003,2006,Baldwin County,Alabama,171997,8.84,16593,22.54,788,48918,173100,29.6,85.11,9.8,2.9,0.56,0.57,0,0.99,0.07,512,253,1.52,3.09,0,0,0,1525,302,county,"Daphne-Fairhope-Foley, AL",1,3,2657537.883
1003,2007,Baldwin County,Alabama,171997,8.84,17472,22.54,788,48918,173100,29.6,85.11,9.8,2.9,0.56,0.57,0,0.99,0.07,605,392,2.24,3.46,0,0,0,1525,302,county,"Daphne-Fairhope-Foley, AL",1,3,2814415.537
1003,2008,Baldwin County,Alabama,171997,8.84,18351,22.54,788,48918,173100,29.6,85.11,9.8,2.9,0.56,0.57,0,0.99,0.07,671,438,2.39,3.66,0,0,0,1525,302,county,"Daphne-Fairhope-Foley, AL",1,3,2706729.387
