County,Gentrification_Count,Potential_Gentrification
Adair County,0,False
Adams County,1,False
Aiken County,1,False
Alachua County,1,False
Alamance County,2,True
Alamosa County,2,True
Alexander County,0,False
Allamakee County,0,False
Alleghany County,1,False
Allegheny County,2,True
Allen County,0,False
Amelia County,1,False
Anderson County,3,True
Andrew County,0,False
Andrews County,2,True
Anson County,0,False
Antelope County,0,False
Apache County,2,True
Appanoose County,0,False
Appomattox County,0,False
Arapahoe County,2,True
Archer County,4,True
Archuleta County,0,False
Armstrong County,3,True
Ashe County,0,False
Ashland County,0,False
Ashtabula County,0,False
Asotin County,2,True
Atchison County,1,False
Athens County,3,True
Audrain County,0,False
Audubon County,1,False
Auglaize County,0,False
Autauga County,0,False
Avery County,2,True
Baker County,0,False
Baldwin County,1,False
Ballard County,0,False
Banner County,0,False
Baraga County,0,False
Barbour County,0,False
Barren County,0,False
Barron County,0,False
Barry County,4,True
Barton County,1,False
Bartow County,0,False
Bates County,0,False
Bath County,3,True
Bay County,1,False
Bayfield County,0,False
Baylor County,4,True
Beaufort County,3,True
Beaver County,0,False
Bedford County,2,True
Bell County,1,False
Bennett County,0,False
Benson County,4,True
Bent County,0,False
Benton County,0,False
Berks County,2,True
Berkshire County,2,True
Bernalillo County,3,True
Bertie County,1,False
Bexar County,1,False
Bibb County,1,False
Black Hawk County,1,False
Blackford County,0,False
Bladen County,0,False
Blair County,2,True
Blanco County,2,True
Bland County,1,False
Bleckley County,1,False
Blount County,0,False
Bollinger County,1,False
Bond County,1,False
Boone County,0,False
Bottineau County,4,True
Bowman County,2,True
Box Elder County,0,False
Boyd County,0,False
Bracken County,0,False
Bradford County,3,True
Brazos County,1,False
Breathitt County,1,False
Bremer County,1,False
Brevard County,2,True
Brewster County,2,True
Briscoe County,1,False
Bronx County,2,True
Brooks County,3,True
Broward County,0,False
Brown County,0,False
Brunswick County,0,False
Buchanan County,0,False
Bucks County,2,True
Buena Vista County,1,False
Buffalo County,0,False
Bullitt County,2,True
Bullock County,0,False
Buncombe County,1,False
Burke County,0,False
Burnett County,0,False
Burt County,0,False
Butler County,0,False
Cabarrus County,3,True
Caldwell County,0,False
Calhoun County,0,False
Callaway County,0,False
Calloway County,1,False
Calumet County,0,False
Cambria County,3,True
Camden County,2,True
Cameron County,2,True
Cape Girardeau County,4,True
Carbon County,0,False
Carlisle County,0,False
Carroll County,1,False
Carson County,2,True
Carter County,1,False
Carteret County,2,True
Casey County,0,False
Cass County,1,False
Caswell County,0,False
Catawba County,0,False
Catron County,0,False
Cavalier County,1,False
Cedar County,0,False
Centre County,2,True
Cerro Gordo County,0,False
Chaffee County,0,False
Chambers County,0,False
Champaign County,0,False
Chariton County,0,False
Charles City County,1,False
Charles Mix County,1,False
Charlotte County,1,False
Chase County,0,False
Chatham County,1,False
Chattooga County,3,True
Chaves County,3,True
Cherokee County,0,False
Chester County,2,True
Cheyenne County,0,False
Chickasaw County,0,False
Childress County,4,True
Chilton County,0,False
Chippewa County,1,False
Choctaw County,0,False
Chowan County,1,False
Christian County,0,False
Cibola County,0,False
Clackamas County,3,True
Clarion County,3,True
Clark County,0,False
Clarke County,0,False
Clatsop County,1,False
Clay County,0,False
Clayton County,0,False
Clear Creek County,1,False
Cleburne County,0,False
Clermont County,0,False
Cleveland County,0,False
Clinton County,0,False
Cochran County,2,True
Coconino County,3,True
Coffee County,0,False
Coke County,3,True
Colbert County,0,False
Cole County,2,True
Colfax County,0,False
Colleton County,0,False
Collin County,3,True
Collingsworth County,3,True
Columbia County,1,False
Columbiana County,0,False
Columbus County,0,False
Colusa County,4,True
Comanche County,1,False
Concho County,4,True
Conecuh County,0,False
Conejos County,0,False
Cook County,0,False
Cooper County,2,True
Coos County,0,False
Coosa County,0,False
Coshocton County,1,False
Costilla County,0,False
Cottle County,0,False
Covington County,0,False
Coweta County,3,True
Cowlitz County,3,True
Craig County,0,False
Crane County,0,False
Crawford County,1,False
Crenshaw County,0,False
Crittenden County,0,False
Crockett County,3,True
Crook County,1,False
Crosby County,3,True
Crowley County,0,False
Culberson County,1,False
Cullman County,0,False
Cumberland County,0,False
Cuming County,0,False
Currituck County,3,True
Curry County,0,False
Custer County,0,False
Cuyahoga County,1,False
Dade County,1,False
Daggett County,0,False
Dakota County,1,False
Dale County,0,False
Dallam County,4,True
Dallas County,2,True
Dare County,2,True
Darke County,0,False
Dauphin County,2,True
Davie County,0,False
Daviess County,1,False
Davis County,2,True
Dawes County,0,False
Dawson County,0,False
Day County,0,False
De Baca County,0,False
DeKalb County,2,True
Deaf Smith County,2,True
Decatur County,0,False
Defiance County,0,False
Delaware County,2,True
Delta County,3,True
Dent County,0,False
Denver County,2,True
Des Moines County,0,False
Deschutes County,4,True
Deuel County,0,False
Dewey County,0,False
Dickens County,3,True
Dickenson County,0,False
Dickey County,4,True
Dickinson County,0,False
Dinwiddie County,3,True
Dixie County,1,False
Dixon County,1,False
Dodge County,0,False
Dolores County,1,False
Donley County,2,True
Door County,0,False
Douglas County,0,False
Drew County,1,False
Dukes County,1,False
Dundy County,1,False
Dunklin County,0,False
Dunn County,0,False
Duplin County,0,False
Durham County,2,True
Duval County,0,False
Eagle County,1,False
Eau Claire County,1,False
Ector County,2,True
Eddy County,3,True
Edgecombe County,0,False
Edmonson County,0,False
Edmunds County,0,False
Edwards County,0,False
El Dorado County,3,True
El Paso County,4,True
Elbert County,2,True
Elk County,3,True
Elliott County,1,False
Elmore County,0,False
Emanuel County,4,True
Emmet County,1,False
Emmons County,3,True
Erie County,0,False
Escambia County,0,False
Essex County,0,False
Etowah County,0,False
Eureka County,1,False
Evans County,1,False
Fairfield County,1,False
Fannin County,2,True
Faribault County,1,False
Fayette County,0,False
Ferry County,3,True
Fillmore County,0,False
Fisher County,2,True
Fleming County,0,False
Florence County,0,False
Floyd County,0,False
Fluvanna County,3,True
Foard County,1,False
Fond du Lac County,0,False
Forest County,0,False
Forsyth County,1,False
Fort Bend County,2,True
Foster County,2,True
Franklin County,0,False
Freeborn County,1,False
Fremont County,0,False
Frio County,4,True
Frontier County,0,False
Fulton County,0,False
Gage County,0,False
Gaines County,4,True
Gallia County,2,True
Garden County,0,False
Garfield County,0,False
Garza County,1,False
Gasconade County,0,False
Gaston County,2,True
Gates County,0,False
Geauga County,1,False
Geneva County,1,False
Gentry County,2,True
Gillespie County,1,False
Gilliam County,0,False
Gilmer County,2,True
Gilpin County,1,False
Glasscock County,2,True
Glenn County,0,False
Golden Valley County,4,True
Goliad County,4,True
Goochland County,2,True
Graham County,2,True
Grand County,3,True
Grand Isle County,1,False
Grant County,0,False
Granville County,1,False
Grays Harbor County,1,False
Grayson County,1,False
Greeley County,0,False
Green County,0,False
Green Lake County,0,False
Greene County,2,True
Greenlee County,4,True
Griggs County,4,True
Grundy County,1,False
Guernsey County,0,False
Guilford County,1,False
Gunnison County,1,False
Guthrie County,1,False
Gwinnett County,3,True
Hale County,0,False
Halifax County,0,False
Hall County,1,False
Hamilton County,0,False
Hamlin County,0,False
Hampden County,4,True
Hancock County,0,False
Hand County,0,False
Hansford County,4,True
Haralson County,0,False
Hardeman County,4,True
Hardin County,0,False
Harding County,0,False
Harnett County,0,False
Harris County,3,True
Harrison County,0,False
Hart County,3,True
Hartford County,2,True
Hartley County,4,True
Haskell County,0,False
Hayes County,1,False
Haywood County,0,False
Heard County,0,False
Hemphill County,3,True
Henderson County,1,False
Henry County,1,False
Hertford County,1,False
Hettinger County,1,False
Hickman County,3,True
Hickory County,2,True
Hidalgo County,3,True
Highland County,4,True
Hillsborough County,2,True
Hinsdale County,0,False
Hitchcock County,0,False
Hocking County,0,False
Hoke County,2,True
Holmes County,0,False
Holt County,1,False
Hood River County,0,False
Hopkins County,2,True
Horry County,4,True
Houston County,0,False
Howard County,0,False
Howell County,1,False
Humboldt County,0,False
Huntingdon County,3,True
Huron County,0,False
Hutchinson County,2,True
Hyde County,0,False
Ida County,0,False
Indiana County,3,True
Iowa County,0,False
Irion County,3,True
Iron County,1,False
Jack County,3,True
Jackson County,0,False
Jasper County,3,True
Jeff Davis County,0,False
Jefferson County,1,False
Jerauld County,0,False
Jim Hogg County,2,True
Johnson County,0,False
Johnston County,1,False
Jones County,0,False
Josephine County,1,False
Juab County,1,False
Juneau County,0,False
Juniata County,4,True
Kane County,1,False
Kearney County,0,False
Kendall County,4,True
Kenosha County,1,False
Kent County,2,True
Keokuk County,0,False
Kewaunee County,0,False
Keya Paha County,0,False
Kidder County,4,True
Kimble County,4,True
King County,3,True
King and Queen County,1,False
Kings County,2,True
Kingsbury County,0,False
Kinney County,3,True
Kiowa County,0,False
Kit Carson County,1,False
Klamath County,3,True
Kleberg County,3,True
Klickitat County,4,True
Knott County,0,False
Knox County,0,False
Kossuth County,1,False
La Crosse County,1,False
La Salle County,0,False
Lackawanna County,2,True
Laclede County,0,False
Lafayette County,0,False
Lake County,0,False
Lamar County,0,False
Lancaster County,1,False
Lander County,2,True
Lane County,1,False
Langlade County,0,False
Lapeer County,3,True
Larimer County,3,True
Larue County,3,True
Las Animas County,3,True
Lassen County,3,True
Lauderdale County,0,False
Laurens County,1,False
Lawrence County,2,True
Le Sueur County,4,True
Lebanon County,2,True
Lee County,0,False
Lehigh County,2,True
Lenoir County,0,False
Leon County,1,False
Leslie County,3,True
Lewis County,2,True
Liberty County,3,True
Licking County,0,False
Limestone County,0,False
Lincoln County,1,False
Linn County,1,False
Lipscomb County,0,False
Live Oak County,2,True
Livingston County,0,False
Llano County,4,True
Logan County,0,False
Lorain County,1,False
Los Alamos County,3,True
Louisa County,0,False
Loup County,0,False
Lowndes County,0,False
Lucas County,0,False
Luce County,1,False
Luna County,3,True
Lunenburg County,0,False
Luzerne County,2,True
Lycoming County,1,False
Lynn County,4,True
Lyon County,0,False
Macon County,0,False
Madison County,3,True
Magoffin County,4,True
Mahaska County,0,False
Mahoning County,1,False
Manatee County,0,False
Manitowoc County,0,False
Marathon County,0,False
Marengo County,0,False
Maricopa County,2,True
Maries County,1,False
Marinette County,0,False
Marion County,0,False
Marquette County,1,False
Marshall County,0,False
Martin County,0,False
Mason County,1,False
McCreary County,3,True
McCulloch County,1,False
McDonald County,0,False
McDowell County,2,True
McHenry County,1,False
McKean County,3,True
McKenzie County,3,True
McLean County,0,False
McPherson County,0,False
Mecklenburg County,0,False
Meigs County,1,False
Menard County,2,True
Menifee County,4,True
Menominee County,0,False
Mercer County,0,False
Merrick County,0,False
Mesa County,4,True
Metcalfe County,0,False
Miami County,0,False
Middlesex County,2,True
Midland County,1,False
Mifflin County,4,True
Millard County,2,True
Miller County,2,True
Mills County,0,False
Milwaukee County,1,False
Miner County,0,False
Mineral County,0,False
Mississippi County,0,False
Mitchell County,0,False
Mobile County,1,False
Modoc County,1,False
Moniteau County,2,True
Monona County,0,False
Monroe County,0,False
Montezuma County,0,False
Montgomery County,1,False
Montour County,3,True
Montrose County,0,False
Moody County,0,False
Moore County,0,False
Morgan County,3,True
Morrill County,1,False
Morrow County,0,False
Motley County,0,False
Moultrie County,3,True
Mountrail County,3,True
Mower County,3,True
Multnomah County,1,False
Murray County,0,False
Muscatine County,2,True
Muskegon County,0,False
Muskingum County,0,False
Nance County,1,False
Nelson County,1,False
Nemaha County,0,False
New Castle County,2,True
New Hanover County,1,False
New Madrid County,0,False
Newaygo County,2,True
Newton County,1,False
Nicollet County,4,True
Niobrara County,0,False
Noble County,0,False
Nodaway County,2,True
Nolan County,0,False
Northampton County,1,False
Northumberland County,0,False
Nottoway County,2,True
Nuckolls County,0,False
Nueces County,0,False
Oconto County,2,True
Ohio County,0,False
Oliver County,2,True
Oneida County,0,False
Onslow County,1,False
Ontonagon County,1,False
Orange County,1,False
Oregon County,3,True
Osage County,2,True
Osceola County,0,False
Otero County,0,False
Otoe County,1,False
Ottawa County,0,False
Ouray County,2,True
Outagamie County,1,False
Owsley County,0,False
Ozark County,1,False
Ozaukee County,1,False
Pacific County,1,False
Page County,0,False
Palm Beach County,3,True
Palo Alto County,0,False
Pamlico County,1,False
Park County,0,False
Parmer County,4,True
Pasco County,4,True
Pasquotank County,0,False
Paulding County,1,False
Pawnee County,0,False
Pecos County,4,True
Pembina County,1,False
Pemiscot County,1,False
Pend Oreille County,2,True
Pender County,0,False
Pepin County,0,False
Perkins County,0,False
Perquimans County,0,False
Perry County,0,False
Person County,0,False
Pettis County,1,False
Phelps County,1,False
Philadelphia County,4,True
Phillips County,0,False
Piatt County,1,False
Pickaway County,4,True
Pickens County,0,False
Pierce County,0,False
Pike County,1,False
Pima County,2,True
Pinellas County,2,True
Piscataquis County,1,False
Pitkin County,3,True
Pitt County,1,False
Platte County,0,False
Plumas County,3,True
Plymouth County,0,False
Pocahontas County,0,False
Polk County,0,False
Pope County,1,False
Portage County,0,False
Pottawattamie County,2,True
Potter County,0,False
Poweshiek County,0,False
Powhatan County,3,True
Preble County,0,False
Presidio County,2,True
Price County,0,False
Prince Edward County,0,False
Prowers County,0,False
Pulaski County,0,False
Putnam County,0,False
Quay County,2,True
Racine County,1,False
Rains County,1,False
Ralls County,2,True
Ramsey County,4,True
Randolph County,0,False
Rappahannock County,3,True
Ray County,1,False
Reagan County,1,False
Real County,2,True
Red River County,1,False
Red Willow County,0,False
Refugio County,4,True
Renville County,1,False
Reynolds County,1,False
Rich County,4,True
Richardson County,0,False
Richland County,0,False
Richmond County,0,False
Ringgold County,2,True
Rio Blanco County,0,False
Rio Grande County,3,True
Ripley County,1,False
Robertson County,2,True
Robeson County,0,False
Rock County,0,False
Rockcastle County,1,False
Rockdale County,4,True
Rockingham County,3,True
Rockwall County,2,True
Roosevelt County,2,True
Ross County,1,False
Rowan County,0,False
Runnels County,3,True
Rusk County,0,False
Russell County,1,False
Rutherford County,0,False
Sabine County,0,False
Sac County,0,False
Saguache County,0,False
Saline County,0,False
Salt Lake County,2,True
Saluda County,0,False
Sampson County,0,False
San Juan County,2,True
San Miguel County,1,False
Sanborn County,0,False
Sandusky County,0,False
Sanpete County,1,False
Sargent County,1,False
Sarpy County,1,False
Sauk County,0,False
Saunders County,0,False
Sawyer County,0,False
Schley County,1,False
Schuyler County,0,False
Schuylkill County,3,True
Scioto County,2,True
Scotland County,1,False
Scott County,0,False
Scurry County,4,True
Searcy County,3,True
Sedgwick County,0,False
Seneca County,2,True
Seward County,0,False
Shackelford County,0,False
Shannon County,1,False
Sharp County,2,True
Shawano County,0,False
Sheboygan County,1,False
Shelby County,0,False
Shenandoah County,0,False
Sheridan County,0,False
Sherman County,0,False
Shiawassee County,1,False
Sibley County,2,True
Sierra County,1,False
Simpson County,0,False
Sioux County,1,False
Skamania County,2,True
Smyth County,0,False
Snohomish County,3,True
Snyder County,2,True
Socorro County,2,True
Somerset County,0,False
Somervell County,2,True
Spalding County,2,True
Stanley County,0,False
Stanly County,0,False
Stanton County,0,False
Stark County,0,False
Stephens County,1,False
Sterling County,2,True
Stevens County,1,False
Stoddard County,1,False
Stokes County,1,False
Stone County,0,False
Stonewall County,0,False
Storey County,3,True
Story County,2,True
Sublette County,2,True
Suffolk County,2,True
Sullivan County,2,True
Summit County,2,True
Sumter County,0,False
Surry County,1,False
Susquehanna County,4,True
Sussex County,1,False
Sutton County,2,True
Suwannee County,3,True
Swain County,0,False
Swisher County,4,True
Talbot County,0,False
Taliaferro County,1,False
Talladega County,0,False
Tallapoosa County,1,False
Tama County,0,False
Taney County,2,True
Taos County,2,True
Tarrant County,2,True
Tattnall County,1,False
Taylor County,0,False
Tazewell County,0,False
Teller County,0,False
Terrell County,0,False
Texas County,0,False
Thayer County,0,False
Thomas County,0,False
Throckmorton County,1,False
Thurston County,1,False
Tillamook County,2,True
Tioga County,3,True
Todd County,1,False
Torrance County,4,True
Towner County,0,False
Transylvania County,1,False
Travis County,3,True
Trempealeau County,0,False
Trigg County,0,False
Trimble County,3,True
Trinity County,4,True
Tripp County,2,True
Troup County,2,True
Tuscaloosa County,2,True
Tuscarawas County,0,False
Tyrrell County,1,False
Umatilla County,4,True
Union County,2,True
Upton County,2,True
Valley County,0,False
Van Buren County,0,False
Van Wert County,0,False
Vance County,0,False
Vanderburgh County,3,True
Venango County,3,True
Vernon County,1,False
Vernon Parish,2,True
Vilas County,0,False
Vinton County,0,False
Wahkiakum County,1,False
Wake County,2,True
Walker County,0,False
Walla Walla County,3,True
Wallowa County,0,False
Walworth County,1,False
Wapello County,3,True
Ward County,3,True
Warren County,0,False
Wasco County,3,True
Waseca County,2,True
Washakie County,0,False
Washburn County,0,False
Washington County,2,True
Watauga County,1,False
Watonwan County,2,True
Waukesha County,4,True
Waupaca County,1,False
Waushara County,0,False
Wayne County,0,False
Weber County,4,True
Webster County,0,False
Weld County,1,False
Wells County,1,False
Westmoreland County,1,False
Wheeler County,0,False
White Pine County,1,False
Whitley County,2,True
Whitman County,1,False
Wilcox County,1,False
Wilkes County,0,False
Williams County,0,False
Wilson County,1,False
Winnebago County,0,False
Winneshiek County,0,False
Winona County,3,True
Winston County,0,False
Wolfe County,1,False
Wood County,0,False
Woodbury County,2,True
Worth County,1,False
Wright County,0,False
Wyandot County,0,False
Wyandotte County,0,False
Wyoming County,2,True
Yadkin County,0,False
Yamhill County,3,True
Yancey County,1,False
Yoakum County,3,True
York County,2,True
Yuma County,0,False
Zapata County,2,True
