,Year,GEOID,RegionName,State,population,poverty.rate,renter.occupied.households,pct.renter.occupied,median.gross.rent,median.household.income,median.property.value,rent.burden,pct.white,pct.af.am,pct.hispanic,pct.am.ind,pct.asian,pct.nh.pi,pct.multiple,pct.other,eviction.filings,evictions,eviction.rate,eviction.filing.rate,low.flag,imputed,subbed,RegionID,SizeRank,RegionType,Metro,StateCodeFIPS,MunicipalCodeFIPS,ZHVI,Geography,Total Under 5 years,Total 5 to 9 years,Total 10 to 14 years,Total 15 to 29 years,Total 20 to 24 years,Total 25 to 29 years,Total 30 to 34 years,Total 35 to 39 years,Total 40 to 44 years,Total 45 to 49 years,Total 50 to 54 years,Total 55 to 59 years,Total 60 to 64 years,Total 65 to 69 years,Total 70 to 74 years,Total 75 to 79 years,Total 80 to 84 years,Total 85 years and over,Total less than high school graduate,Total high school graduate,Total some college or associate's degree,Total bachelor's degree or higher,Total graduate or professional degree,Unemployment rate,Moved within same county,Moved from different county within same state,Moved from different state,Moved from abroad,Public Transport
0,2000-01-01,1003,Baldwin County,Alabama,171997.0,8.84,15715.0,22.54,788.0,48918.0,173100.0,29.6,85.11,9.8,2.9,0.56,0.57,0.0,0.99,0.07,500.0,268.0,1.71,3.18,0.0,0.0,0.0,1525.0,302.0,,,1.0,3.0,2272455.739950093,0500000US01003,6.0,6.2,7.0,6.4,4.6,6.1,5.7,5.5,7.4,7.6,7.3,6.7,6.9,5.5,4.5,2.7,2.3,1.7,22.4,34.7,32.2,10.7,7.4,,18345.0,6985.0,9680.0,644.0,309.0
1,2001-01-01,1003,Baldwin County,Alabama,171997.0,8.84,15715.0,22.54,788.0,48918.0,173100.0,29.6,85.11,9.8,2.9,0.56,0.57,0.0,0.99,0.07,500.0,268.0,1.71,3.18,0.0,0.0,0.0,1525.0,302.0,,,1.0,3.0,2272455.739950093,0500000US01003,6.0,6.2,7.0,6.4,4.6,6.1,5.7,5.5,7.4,7.6,7.3,6.7,6.9,5.5,4.5,2.7,2.3,1.7,22.4,34.7,32.2,10.7,7.4,,18345.0,6985.0,9680.0,644.0,309.0
2,2002-01-01,1003,Baldwin County,Alabama,171997.0,8.84,15715.0,22.54,788.0,48918.0,173100.0,29.6,85.11,9.8,2.9,0.56,0.57,0.0,0.99,0.07,500.0,268.0,1.71,3.18,0.0,0.0,0.0,1525.0,302.0,,,1.0,3.0,2272455.739950093,0500000US01003,6.0,6.2,7.0,6.4,4.6,6.1,5.7,5.5,7.4,7.6,7.3,6.7,6.9,5.5,4.5,2.7,2.3,1.7,22.4,34.7,32.2,10.7,7.4,,18345.0,6985.0,9680.0,644.0,309.0
3,2003-01-01,1003,Baldwin County,Alabama,171997.0,8.84,15715.0,22.54,788.0,48918.0,173100.0,29.6,85.11,9.8,2.9,0.56,0.57,0.0,0.99,0.07,500.0,268.0,1.71,3.18,0.0,0.0,0.0,1525.0,302.0,,,1.0,3.0,2272455.739950093,0500000US01003,6.0,6.2,7.0,6.4,4.6,6.1,5.7,5.5,7.4,7.6,7.3,6.7,6.9,5.5,4.5,2.7,2.3,1.7,22.4,34.7,32.2,10.7,7.4,,18345.0,6985.0,9680.0,644.0,309.0
4,2004-01-01,1003,Baldwin County,Alabama,171997.0,8.84,15715.0,22.54,788.0,48918.0,173100.0,29.6,85.11,9.8,2.9,0.56,0.57,0.0,0.99,0.07,500.0,268.0,1.71,3.18,0.0,0.0,0.0,1525.0,302.0,,,1.0,3.0,2272455.739950093,0500000US01003,6.0,6.2,7.0,6.4,4.6,6.1,5.7,5.5,7.4,7.6,7.3,6.7,6.9,5.5,4.5,2.7,2.3,1.7,22.4,34.7,32.2,10.7,7.4,,18345.0,6985.0,9680.0,644.0,309.0
5,2005-01-01,1003,Baldwin County,Alabama,171997.0,8.84,15715.0,22.54,788.0,48918.0,173100.0,29.6,85.11,9.8,2.9,0.56,0.57,0.0,0.99,0.07,500.0,268.0,1.71,3.18,0.0,0.0,0.0,1525.0,302.0,county,"Daphne-Fairhope-Foley, AL",1.0,3.0,2272455.739950093,0500000US01003,6.0,6.2,7.0,6.4,4.6,6.1,5.7,5.5,7.4,7.6,7.3,6.7,6.9,5.5,4.5,2.7,2.3,1.7,22.4,34.7,32.2,10.7,7.4,,18345.0,6985.0,9680.0,644.0,309.0
6,2006-01-01,1003,Baldwin County,Alabama,171997.0,8.84,16593.0,22.54,788.0,48918.0,173100.0,29.6,85.11,9.8,2.9,0.56,0.57,0.0,0.99,0.07,512.0,253.0,1.52,3.09,0.0,0.0,0.0,1525.0,302.0,county,"Daphne-Fairhope-Foley, AL",1.0,3.0,2657537.88318383,0500000US01003,6.0,6.2,7.0,6.4,4.6,6.1,5.7,5.5,7.4,7.6,7.3,6.7,6.9,5.5,4.5,2.7,2.3,1.7,22.4,34.7,32.2,10.7,7.4,,18345.0,6985.0,9680.0,644.0,309.0
7,2007-01-01,1003,Baldwin County,Alabama,171997.0,8.84,17472.0,22.54,788.0,48918.0,173100.0,29.6,85.11,9.8,2.9,0.56,0.57,0.0,0.99,0.07,605.0,392.0,2.24,3.46,0.0,0.0,0.0,1525.0,302.0,county,"Daphne-Fairhope-Foley, AL",1.0,3.0,2814415.5368164144,0500000US01003,6.0,6.2,7.0,6.4,4.6,6.1,5.7,5.5,7.4,7.6,7.3,6.7,6.9,5.5,4.5,2.7,2.3,1.7,22.4,34.7,32.2,10.7,7.4,,18345.0,6985.0,9680.0,644.0,309.0
8,2008-01-01,1003,Baldwin County,Alabama,171997.0,8.84,18351.0,22.54,788.0,48918.0,173100.0,29.6,85.11,9.8,2.9,0.56,0.57,0.0,0.99,0.07,671.0,438.0,2.39,3.66,0.0,0.0,0.0,1525.0,302.0,county,"Daphne-Fairhope-Foley, AL",1.0,3.0,2706729.386967921,0500000US01003,6.0,6.2,7.0,6.4,4.6,6.1,5.7,5.5,7.4,7.6,7.3,6.7,6.9,5.5,4.5,2.7,2.3,1.7,22.4,34.7,32.2,10.7,7.4,,18345.0,6985.0,9680.0,644.0,309.0
9,2009-01-01,1003,Baldwin County,Alabama,171997.0,8.84,19230.0,22.54,788.0,48918.0,173100.0,29.6,85.11,9.8,2.9,0.56,0.57,0.0,0.99,0.07,626.0,360.0,1.87,3.26,0.0,0.0,0.0,1525.0,302.0,county,"Daphne-Fairhope-Foley, AL",1.0,3.0,2520653.6976015493,0500000US01003,6.0,6.2,7.0,6.4,4.6,6.1,5.7,5.5,7.4,7.6,7.3,6.7,6.9,5.5,4.5,2.7,2.3,1.7,22.4,34.7,32.2,10.7,7.4,,18345.0,6985.0,9680.0,644.0,309.0
10,2010-01-01,1003,Baldwin County,Alabama,182265.0,9.61,20109.0,27.48,874.0,50706.0,172900.0,30.0,83.5,9.31,4.38,0.63,0.74,0.04,1.26,0.13,620.0,358.0,1.78,3.08,0.0,0.0,0.0,1525.0,302.0,county,"Daphne-Fairhope-Foley, AL",1.0,3.0,2270756.2258342267,0500000US01003,6.0,6.2,7.0,6.4,4.6,6.1,5.7,5.5,7.4,7.6,7.3,6.7,6.9,5.5,4.5,2.7,2.3,1.7,22.4,34.7,32.2,10.7,7.4,10.1,18345.0,6985.0,9680.0,644.0,309.0
11,2011-01-01,1003,Baldwin County,Alabama,188693.0,9.620000000000001,20747.5,27.98,876.5,50480.0,171100.0,30.15,83.3,9.405000000000001,4.4399999999999995,0.595,0.7,0.02,1.42,0.115,754.0,409.5,1.9700000000000002,3.615,0.0,0.0,0.0,1525.0,302.0,,,1.0,3.0,2171289.6333098477,0500000US01003,5.7,6.9,6.4,5.9,4.9,7.0,5.5,4.4,8.3,6.8,7.6,6.4,7.4,6.1,3.7,2.9,2.2,2.0,12.5,38.5,40.2,8.9,9.9,8.1,20021.0,6228.5,7432.5,927.5,309.0
12,2012-01-01,1003,Baldwin County,Alabama,195121.0,9.63,21386.0,28.48,879.0,50254.0,169300.0,30.3,83.1,9.5,4.5,0.56,0.66,0.0,1.58,0.1,888.0,461.0,2.16,4.15,0.0,0.0,0.0,1525.0,302.0,county,"Daphne-Fairhope-Foley, AL",1.0,3.0,2071823.040785469,0500000US01003,5.6,6.4,6.2,6.1,5.8,6.1,5.8,5.9,5.9,7.4,7.4,7.0,6.6,6.9,3.7,3.1,2.2,1.8,13.8,31.4,51.0,3.7,10.0,8.9,21697.0,5472.0,5185.0,1211.0,309.0
13,2013-01-01,1003,Baldwin County,Alabama,195121.0,9.63,22025.0,28.48,879.0,50254.0,169300.0,30.3,83.1,9.5,4.5,0.56,0.66,0.0,1.58,0.1,834.0,483.0,2.19,3.79,0.0,0.0,0.0,1525.0,302.0,county,"Daphne-Fairhope-Foley, AL",1.0,3.0,2205389.369239849,0500000US01003,5.4,6.4,6.5,6.3,6.3,5.4,6.4,5.6,6.8,6.1,6.8,6.6,7.4,6.6,4.1,2.9,2.2,2.2,25.6,32.6,30.2,11.6,,7.5,19038.0,4373.0,7797.0,1438.0,
14,2014-01-01,1003,Baldwin County,Alabama,195121.0,9.63,22663.0,28.48,879.0,50254.0,169300.0,30.3,83.1,9.5,4.5,0.56,0.66,0.0,1.58,0.1,686.0,385.0,1.7,3.03,0.0,0.0,0.0,1525.0,302.0,county,"Daphne-Fairhope-Foley, AL",1.0,3.0,2315976.271549294,0500000US01003,5.5,5.7,7.3,6.3,4.9,5.6,6.2,5.5,6.8,6.1,7.4,6.8,7.0,5.9,5.3,3.1,2.7,1.9,28.9,33.6,28.9,8.6,,7.1,10040.0,5126.0,5613.0,98.0,
15,2015-01-01,1003,Baldwin County,Alabama,195121.0,9.63,23302.0,28.48,879.0,50254.0,169300.0,30.3,83.1,9.5,4.5,0.56,0.66,0.0,1.58,0.1,649.0,476.0,2.04,2.79,0.0,0.0,0.0,1525.0,302.0,county,"Daphne-Fairhope-Foley, AL",1.0,3.0,2447096.7571534626,0500000US01003,4.9,6.6,6.6,6.2,5.1,5.1,6.5,6.1,6.4,6.4,7.0,6.3,7.1,7.0,5.1,3.1,2.1,2.3,,,,,,4.6,12482.0,4514.0,4428.0,63.0,
16,2016-01-01,1003,Baldwin County,Alabama,195121.0,9.63,23940.0,28.48,879.0,50254.0,169300.0,30.3,83.1,9.5,4.5,0.56,0.66,0.0,1.58,0.1,776.0,504.0,2.11,3.24,0.0,0.0,0.0,1525.0,302.0,county,"Daphne-Fairhope-Foley, AL",1.0,3.0,2583089.086517087,0500000US01003,5.2,6.5,6.3,6.5,5.0,6.0,5.9,5.7,5.5,6.2,7.6,7.1,7.1,6.7,4.8,3.5,2.6,1.9,,,,,,2.9,10349.0,3619.0,8447.0,922.0,
17,2017-01-01,1003,Baldwin County,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US01003,11338.0,12750.0,13769.0,12454.0,10280.0,12232.0,13193.0,14168.0,12381.0,13656.0,13664.0,14819.0,15422.0,14115.0,11436.0,8170.0,4749.0,4032.0,,,,,,5.1,13127.0,4221.0,6346.0,684.0,
18,2018-01-01,1003,Baldwin County,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0500000US01003,10878.0,9445.0,18093.0,13489.0,10426.0,11901.0,11597.0,12965.0,13025.0,15003.0,15114.0,16569.0,15074.0,12589.0,14563.0,9100.0,4364.0,3827.0,,,,,,2.2,16911.0,4831.0,6688.0,1480.0,
19,2000-01-01,1015,Calhoun County,Alabama,112249.0,16.11,12684.0,27.48,413.0,31768.0,71600.0,24.6,78.04,18.46,1.56,0.38,0.56,0.07,0.86,0.08,422.0,176.0,1.39,3.33,0.0,0.0,0.0,1569.0,543.0,,,1.0,15.0,0.0,0500000US01015,6.2,5.5,7.2,7.6,7.1,6.6,5.5,6.2,6.6,7.1,6.9,6.8,6.0,4.1,3.8,3.2,1.9,1.4,20.1,37.8,38.3,3.8,5.0,,11353.0,4288.0,2161.0,178.0,
20,2001-01-01,1015,Calhoun County,Alabama,112249.0,16.11,12684.0,27.48,413.0,31768.0,71600.0,24.6,78.04,18.46,1.56,0.38,0.56,0.07,0.86,0.08,422.0,176.0,1.39,3.33,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,0.0,0500000US01015,6.2,5.5,7.2,7.6,7.1,6.6,5.5,6.2,6.6,7.1,6.9,6.8,6.0,4.1,3.8,3.2,1.9,1.4,20.1,37.8,38.3,3.8,5.0,,11353.0,4288.0,2161.0,178.0,
21,2002-01-01,1015,Calhoun County,Alabama,112249.0,16.11,12917.0,27.48,413.0,31768.0,71600.0,24.6,78.04,18.46,1.56,0.38,0.56,0.07,0.86,0.08,508.0,272.0,2.11,3.93,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,0.0,0500000US01015,6.2,5.5,7.2,7.6,7.1,6.6,5.5,6.2,6.6,7.1,6.9,6.8,6.0,4.1,3.8,3.2,1.9,1.4,20.1,37.8,38.3,3.8,5.0,,11353.0,4288.0,2161.0,178.0,
22,2003-01-01,1015,Calhoun County,Alabama,112249.0,16.11,13149.0,27.48,413.0,31768.0,71600.0,24.6,78.04,18.46,1.56,0.38,0.56,0.07,0.86,0.08,515.0,258.0,1.96,3.92,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,0.0,0500000US01015,6.2,5.5,7.2,7.6,7.1,6.6,5.5,6.2,6.6,7.1,6.9,6.8,6.0,4.1,3.8,3.2,1.9,1.4,20.1,37.8,38.3,3.8,5.0,,11353.0,4288.0,2161.0,178.0,
23,2004-01-01,1015,Calhoun County,Alabama,112488.78102189781,15.420629562043795,13381.787408759124,27.813029197080294,465.6186131386861,33970.65510948905,79259.67153284671,25.798905109489052,77.2473905109489,18.783038321167883,1.8430748175182483,0.4299543795620438,0.6232755474452555,0.07,0.943257299270073,0.07000912408759125,489.02372262773724,250.007299270073,1.870082116788321,3.666897810218978,0.0,0.0,0.0,1569.0,543.0,,,1.0,15.0,0.0,0500000US01015,6.2,5.5,7.2,7.6,7.1,6.6,5.5,6.2,6.6,7.1,6.9,6.8,6.0,4.1,3.8,3.2,1.9,1.4,20.1,37.8,38.3,3.8,5.0,,11353.0,4288.0,2161.0,178.0,
24,2005-01-01,1015,Calhoun County,Alabama,112729.21897810219,14.729370437956204,13615.212591240876,28.146970802919707,518.3813868613139,36179.34489051095,86940.32846715329,27.00109489051095,76.4526094890511,19.106961678832118,2.126925182481752,0.48004562043795623,0.6867244525547446,0.07,1.026742700729927,0.05999087591240876,462.97627737226276,241.992700729927,1.7799178832116787,3.413102189781022,0.0,0.0,0.0,1569.0,543.0,,,1.0,15.0,0.0,0500000US01015,6.2,5.5,7.2,7.6,7.1,6.6,5.5,6.2,6.6,7.1,6.9,6.8,6.0,4.1,3.8,3.2,1.9,1.4,20.1,37.8,38.3,3.8,5.0,,11353.0,4288.0,2161.0,178.0,
25,2006-01-01,1015,Calhoun County,Alabama,112969.0,14.04,13848.0,28.48,571.0,38382.0,94600.0,28.2,75.66,19.43,2.41,0.53,0.75,0.07,1.11,0.05,437.0,234.0,1.69,3.16,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,0.0,0500000US01015,6.2,5.5,7.2,7.6,7.1,6.6,5.5,6.2,6.6,7.1,6.9,6.8,6.0,4.1,3.8,3.2,1.9,1.4,20.1,37.8,38.3,3.8,5.0,,11353.0,4288.0,2161.0,178.0,
26,2007-01-01,1015,Calhoun County,Alabama,112969.0,14.04,14081.0,28.48,571.0,38382.0,94600.0,28.2,75.66,19.43,2.41,0.53,0.75,0.07,1.11,0.05,470.0,277.0,1.97,3.34,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,0.0,0500000US01015,6.2,5.5,7.2,7.6,7.1,6.6,5.5,6.2,6.6,7.1,6.9,6.8,6.0,4.1,3.8,3.2,1.9,1.4,20.1,37.8,38.3,3.8,5.0,,11353.0,4288.0,2161.0,178.0,
27,2008-01-01,1015,Calhoun County,Alabama,112969.0,14.04,14313.0,28.48,571.0,38382.0,94600.0,28.2,75.66,19.43,2.41,0.53,0.75,0.07,1.11,0.05,494.0,314.0,2.19,3.45,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,0.0,0500000US01015,6.2,5.5,7.2,7.6,7.1,6.6,5.5,6.2,6.6,7.1,6.9,6.8,6.0,4.1,3.8,3.2,1.9,1.4,20.1,37.8,38.3,3.8,5.0,,11353.0,4288.0,2161.0,178.0,
28,2009-01-01,1015,Calhoun County,Alabama,112969.0,14.04,14546.0,28.48,571.0,38382.0,94600.0,28.2,75.66,19.43,2.41,0.53,0.75,0.07,1.11,0.05,468.0,308.0,2.12,3.22,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,0.0,0500000US01015,6.2,5.5,7.2,7.6,7.1,6.6,5.5,6.2,6.6,7.1,6.9,6.8,6.0,4.1,3.8,3.2,1.9,1.4,20.1,37.8,38.3,3.8,5.0,,11353.0,4288.0,2161.0,178.0,
29,2010-01-01,1015,Calhoun County,Alabama,118572.0,16.12,14779.0,31.22,611.0,40093.0,101900.0,29.6,73.61,20.39,3.28,0.4,0.7,0.08,1.44,0.09,517.0,327.0,2.21,3.5,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,211792.66565184173,0500000US01015,6.2,5.5,7.2,7.6,7.1,6.6,5.5,6.2,6.6,7.1,6.9,6.8,6.0,4.1,3.8,3.2,1.9,1.4,20.1,37.8,38.3,3.8,5.0,14.2,11353.0,4288.0,2161.0,178.0,
30,2011-01-01,1015,Calhoun County,Alabama,116648.0,16.49,14861.0,30.95,637.0,41703.0,105900.0,31.1,73.03,20.32,3.49,0.19,0.86,0.01,2.09,0.02,483.0,296.0,1.99,3.25,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,1232561.6862106782,0500000US01015,6.1,6.5,6.6,6.7,7.8,6.2,5.8,4.8,7.4,6.8,7.4,6.4,6.6,4.4,3.7,3.1,2.2,1.4,16.3,24.9,56.1,2.7,5.3,11.8,11353.0,4288.0,2161.0,178.0,
31,2012-01-01,1015,Calhoun County,Alabama,116648.0,16.49,14942.0,30.95,637.0,41703.0,105900.0,31.1,73.03,20.32,3.49,0.19,0.86,0.01,2.09,0.02,505.0,267.0,1.79,3.38,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,1260147.3176390606,0500000US01015,6.1,7.0,5.6,6.7,8.2,6.1,5.9,5.4,7.3,6.0,7.3,7.7,5.9,4.3,4.2,2.8,1.7,1.9,10.0,33.3,50.8,5.9,6.2,13.4,11353.0,4288.0,2161.0,178.0,
32,2013-01-01,1015,Calhoun County,Alabama,116648.0,16.49,15024.0,30.95,637.0,41703.0,105900.0,31.1,73.03,20.32,3.49,0.19,0.86,0.01,2.09,0.02,492.0,315.0,2.1,3.27,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,1332401.1053542695,0500000US01015,5.8,7.4,5.3,7.3,7.2,6.7,6.0,7.6,5.4,6.4,6.6,6.5,6.6,4.8,4.2,3.1,1.8,1.5,18.6,25.5,50.2,5.7,,14.7,11373.036496350365,4562.16605839416,2164.0054744525546,138.92883211678833,
33,2014-01-01,1015,Calhoun County,Alabama,116648.0,16.49,15105.0,30.95,637.0,41703.0,105900.0,31.1,73.03,20.32,3.49,0.19,0.86,0.01,2.09,0.02,497.0,323.0,2.14,3.29,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,1690628.318676371,0500000US01015,5.8,5.2,7.1,7.0,6.7,6.5,6.2,6.8,5.9,6.1,7.1,6.1,7.5,5.6,3.9,2.5,2.6,1.4,18.8,24.7,53.2,3.3,,10.1,11393.018248175182,4835.583029197081,2167.0027372262775,99.96441605839416,
34,2015-01-01,1015,Calhoun County,Alabama,116648.0,16.49,15187.0,30.95,637.0,41703.0,105900.0,31.1,73.03,20.32,3.49,0.19,0.86,0.01,2.09,0.02,555.0,369.0,2.43,3.65,0.0,0.0,0.0,1569.0,543.0,county,"Anniston-Oxford, AL",1.0,15.0,1339134.754850489,0500000US01015,5.3,6.4,6.0,7.5,7.0,6.6,6.0,5.2,7.1,6.3,6.6,7.8,6.2,6.1,3.4,2.8,2.2,1.6,,,,,,9.2,11413.0,5109.0,2170.0,61.0,
