Geography,Total Under 5 years,Total 5 to 9 years,Total 10 to 14 years,Total 15 to 29 years,Total 20 to 24 years,Total 25 to 29 years,Total 30 to 34 years,Total 35 to 39 years,Total 40 to 44 years,Total 45 to 49 years,Total 50 to 54 years,Total 55 to 59 years,Total 60 to 64 years,Total 65 to 69 years,Total 70 to 74 years,Total 75 to 79 years,Total 80 to 84 years,Total 85 years and over,Year,RegionName,State
0500000US01003,5.4,6.4,6.5,6.3,6.3,5.4,6.4,5.6,6.8,6.1,6.8,6.6,7.4,6.6,4.1,2.9,2.2,2.2,2013,Baldwin County,Alabama
0500000US01015,5.8,7.4,5.3,7.3,7.2,6.7,6.0,7.6,5.4,6.4,6.6,6.5,6.6,4.8,4.2,3.1,1.8,1.5,2013,Calhoun County,Alabama
0500000US01043,6.6,6.0,6.1,5.2,7.3,6.1,5.8,6.6,6.3,6.6,7.1,7.1,6.3,6.2,3.8,3.1,2.3,1.5,2013,Cullman County,Alabama
0500000US01049,5.0,6.7,7.3,6.0,8.3,5.2,5.2,8.2,5.8,7.3,6.3,4.7,7.9,4.6,4.6,2.7,2.9,1.3,2013,DeKalb County,Alabama
0500000US01051,5.0,7.8,6.6,5.8,7.0,5.7,7.6,7.1,7.3,7.2,7.1,6.4,5.8,5.3,3.1,2.3,1.9,1.0,2013,Elmore County,Alabama
0500000US01055,5.8,5.7,6.1,7.1,6.4,5.0,5.9,7.1,6.5,6.8,7.2,6.8,6.9,5.5,4.2,3.0,2.1,1.9,2013,Etowah County,Alabama
0500000US01069,6.2,5.8,7.9,6.2,6.3,6.4,6.3,5.5,7.2,6.6,7.2,6.3,6.3,5.6,3.4,3.0,2.0,1.8,2013,Houston County,Alabama
0500000US01073,6.5,6.5,6.4,6.3,6.8,7.2,7.1,6.4,6.4,6.2,7.1,6.9,6.3,4.5,3.0,2.6,2.0,1.7,2013,Jefferson County,Alabama
0500000US01077,4.6,5.7,5.9,6.7,9.8,5.9,5.5,4.2,6.8,6.5,6.8,8.9,4.8,5.4,4.6,3.8,1.8,2.4,2013,Lauderdale County,Alabama
0500000US01081,6.0,5.9,6.1,9.2,15.2,7.1,6.6,5.7,6.6,5.7,6.2,4.9,4.9,3.6,2.8,1.7,1.0,0.8,2013,Lee County,Alabama
0500000US01083,6.4,6.6,7.1,6.0,6.8,5.7,6.8,7.2,6.3,7.7,7.8,6.4,5.7,5.1,3.3,2.3,1.5,1.1,2013,Limestone County,Alabama
0500000US01089,5.9,5.5,7.2,7.0,7.3,6.8,6.6,6.4,5.9,7.5,8.3,6.9,5.3,4.2,3.4,2.6,1.7,1.4,2013,Madison County,Alabama
0500000US01095,6.7,7.0,6.8,6.3,6.1,6.5,6.1,5.2,7.9,6.5,6.7,6.3,5.9,4.8,4.7,2.8,1.2,2.4,2013,Marshall County,Alabama
0500000US01097,6.6,6.8,6.7,6.7,7.2,6.9,6.5,6.0,6.1,6.3,7.3,6.9,5.9,4.9,3.5,2.3,1.6,1.9,2013,Mobile County,Alabama
0500000US01101,6.9,6.8,6.7,7.2,7.7,7.5,7.1,5.8,6.4,6.3,6.9,6.7,5.1,4.6,2.7,2.3,1.4,2.0,2013,Montgomery County,Alabama
0500000US01103,6.7,5.5,6.7,7.0,6.4,4.9,6.9,7.1,6.4,6.8,6.9,7.3,5.9,4.9,3.9,2.8,1.6,2.3,2013,Morgan County,Alabama
0500000US01115,6.7,5.1,7.4,5.9,6.6,6.3,6.3,6.5,7.1,6.8,7.2,6.5,7.5,5.7,3.2,2.8,1.2,1.3,2013,St. Clair County,Alabama
0500000US01117,5.5,7.3,7.8,6.8,5.7,6.1,6.2,8.1,7.4,7.2,7.2,6.7,5.4,5.1,2.9,2.2,1.2,1.1,2013,Shelby County,Alabama
0500000US01121,5.5,4.6,8.1,6.7,6.5,6.2,5.6,6.2,7.3,6.8,7.1,7.1,6.7,4.8,4.5,2.4,2.1,1.7,2013,Talladega County,Alabama
0500000US01125,6.0,5.2,6.5,8.8,13.9,7.2,6.9,6.0,5.2,5.3,6.2,6.4,4.9,4.0,2.6,1.8,1.2,1.8,2013,Tuscaloosa County,Alabama
0500000US01127,5.9,6.5,6.6,7.0,5.3,5.3,5.4,5.6,6.5,6.5,7.7,6.7,6.9,5.7,4.9,3.3,2.5,1.7,2013,Walker County,Alabama
0500000US02020,7.3,6.6,7.5,6.4,9.2,9.2,7.6,7.0,5.7,6.2,7.2,7.2,4.5,3.6,1.6,1.4,0.8,0.9,2013,Anchorage Municipality,Alaska
0500000US02090,8.0,7.1,6.4,9.0,9.1,9.7,8.2,6.2,5.6,6.0,6.3,5.6,5.1,3.0,2.7,0.9,0.7,0.5,2013,Fairbanks North Star Borough,Alaska
0500000US02170,7.1,7.2,8.5,7.9,7.0,6.4,6.6,6.1,6.6,6.7,7.6,6.9,6.3,3.8,2.3,1.6,1.0,0.3,2013,Matanuska-Susitna Borough,Alaska
0500000US04001,7.1,8.7,9.0,8.1,7.8,6.3,5.9,6.3,4.6,6.0,5.8,6.6,5.2,4.1,2.5,2.2,1.7,2.1,2013,Apache County,Arizona
0500000US04003,5.8,5.7,6.4,8.0,5.5,7.0,6.0,5.2,5.4,6.0,6.6,6.5,6.6,5.9,5.2,3.5,2.6,2.0,2013,Cochise County,Arizona
0500000US04005,6.0,6.7,5.3,10.6,12.3,7.2,6.8,5.5,5.5,5.4,6.1,6.1,5.6,3.3,3.4,1.6,1.5,0.9,2013,Coconino County,Arizona
0500000US04013,6.8,7.4,7.0,6.8,7.1,7.1,7.0,6.4,7.0,6.4,6.5,5.6,5.3,4.4,3.3,2.4,1.6,1.7,2013,Maricopa County,Arizona
0500000US04015,4.8,4.9,5.9,5.3,5.1,4.7,4.4,4.8,4.9,6.1,7.3,8.1,7.5,8.3,7.4,5.2,3.1,2.1,2013,Mohave County,Arizona
0500000US04017,7.4,8.2,7.8,7.3,6.9,5.8,5.7,6.3,4.5,5.8,6.5,6.2,6.3,5.4,4.2,3.0,1.7,1.3,2013,Navajo County,Arizona
0500000US04019,6.0,6.1,6.3,6.9,8.9,6.0,6.3,5.6,5.9,5.8,6.4,6.6,6.0,5.3,4.3,3.3,2.3,1.9,2013,Pima County,Arizona
0500000US04021,6.5,7.2,7.6,6.4,5.6,6.0,7.2,7.0,6.6,5.5,5.8,5.8,5.8,5.9,5.0,3.0,1.8,1.2,2013,Pinal County,Arizona
0500000US04025,4.2,4.7,5.4,5.3,4.8,4.5,4.5,4.7,4.4,5.4,6.8,9.5,8.6,9.3,6.5,5.0,2.9,3.2,2013,Yavapai County,Arizona
0500000US04027,7.7,7.3,7.3,7.6,8.6,6.9,6.1,5.3,5.4,5.7,5.6,5.1,4.5,4.5,4.5,3.7,2.5,1.6,2013,Yuma County,Arizona
0500000US05007,7.4,8.0,7.7,6.6,5.9,6.7,7.5,6.7,7.5,6.4,6.4,5.5,4.9,3.7,3.4,2.1,2.1,1.3,2013,Benton County,Arkansas
0500000US05031,6.8,8.5,5.8,7.0,8.9,7.5,6.3,6.2,6.4,6.2,6.4,5.1,6.1,3.4,3.9,2.2,1.5,1.6,2013,Craighead County,Arkansas
0500000US05045,6.3,6.5,7.5,7.6,11.4,8.2,7.3,6.9,5.9,5.7,5.7,5.4,4.3,3.5,3.2,1.7,1.6,1.3,2013,Faulkner County,Arkansas
0500000US05051,5.4,6.0,5.4,6.0,5.0,5.9,5.4,6.3,4.7,6.4,6.9,7.3,7.2,6.3,6.0,3.8,3.4,2.5,2013,Garland County,Arkansas
0500000US05069,6.3,6.2,7.0,7.3,6.8,7.1,6.0,4.0,7.7,6.3,7.2,7.8,5.8,4.4,4.1,2.7,1.1,2.4,2013,Jefferson County,Arkansas
0500000US05085,6.4,8.0,7.6,7.5,6.2,6.2,7.3,6.2,7.6,6.3,7.3,7.1,3.9,4.6,2.7,2.6,0.9,1.5,2013,Lonoke County,Arkansas
0500000US05119,7.0,6.3,6.8,5.9,6.8,7.9,7.9,5.9,6.6,6.2,7.1,6.9,5.8,4.5,2.9,1.9,1.8,1.8,2013,Pulaski County,Arkansas
0500000US05125,5.8,7.4,6.9,6.3,5.3,6.7,6.6,6.8,6.3,6.8,6.6,6.1,5.3,5.8,4.7,2.8,2.5,1.4,2013,Saline County,Arkansas
0500000US05131,7.2,7.9,6.5,5.5,7.5,6.4,7.3,4.4,6.6,7.6,6.6,6.3,6.4,4.7,3.1,2.6,2.3,1.0,2013,Sebastian County,Arkansas
0500000US05143,7.2,7.5,6.9,7.7,11.0,7.7,7.1,6.3,7.1,5.4,6.0,5.4,4.5,3.8,2.3,1.8,1.0,1.4,2013,Washington County,Arkansas
0500000US05145,5.8,7.5,6.2,7.5,9.0,6.7,5.9,4.7,7.0,6.2,6.8,6.0,5.1,4.7,4.4,2.4,2.0,2.0,2013,White County,Arkansas
0500000US06001,6.1,6.3,5.8,6.1,6.9,7.7,7.9,7.2,7.7,7.0,7.1,6.4,5.6,4.2,2.8,2.0,1.5,1.7,2013,Alameda County,California
0500000US06007,5.4,5.6,5.7,7.0,12.2,6.1,5.9,5.5,5.0,5.3,6.3,6.9,6.4,6.1,2.9,2.9,2.0,2.7,2013,Butte County,California
0500000US06013,5.9,7.1,6.6,6.7,6.2,6.0,6.4,6.7,6.9,7.4,7.6,7.0,5.8,4.6,3.3,2.3,1.6,1.9,2013,Contra Costa County,California
0500000US06017,4.4,6.8,6.0,7.2,5.1,4.8,5.0,5.5,5.8,7.2,8.2,9.2,7.2,6.6,4.3,2.6,2.2,1.8,2013,El Dorado County,California
0500000US06019,8.3,8.5,7.6,7.7,8.3,7.6,7.0,6.1,6.0,5.9,6.0,5.4,4.6,3.4,2.6,1.6,1.5,1.7,2013,Fresno County,California
