Geography,Year,Total less than high school graduate,Total high school graduate,Total some college or associate's degree,Total bachelor's degree or higher,Total graduate or professional degree,RegionName,State
0500000US01003,2015,,,,,,Baldwin County,Alabama
0500000US01015,2015,,,,,,Calhoun County,Alabama
0500000US01043,2015,,,,,,Cullman County,Alabama
0500000US01049,2015,,,,,,DeKalb County,Alabama
0500000US01051,2015,,,,,,Elmore County,Alabama
0500000US01055,2015,,,,,,Etowah County,Alabama
0500000US01069,2015,,,,,,Houston County,Alabama
0500000US01073,2015,,,,,,Jefferson County,Alabama
0500000US01077,2015,,,,,,Lauderdale County,Alabama
0500000US01081,2015,,,,,,Lee County,Alabama
0500000US01083,2015,,,,,,Limestone County,Alabama
0500000US01089,2015,,,,,,Madison County,Alabama
0500000US01095,2015,,,,,,Marshall County,Alabama
0500000US01097,2015,,,,,,Mobile County,Alabama
0500000US01101,2015,,,,,,Montgomery County,Alabama
0500000US01103,2015,,,,,,Morgan County,Alabama
0500000US01115,2015,,,,,,St. Clair County,Alabama
0500000US01117,2015,,,,,,Shelby County,Alabama
0500000US01121,2015,,,,,,Talladega County,Alabama
0500000US01125,2015,,,,,,Tuscaloosa County,Alabama
0500000US01127,2015,,,,,,Walker County,Alabama
0500000US02020,2015,,,,,,Anchorage Municipality,Alaska
0500000US02090,2015,,,,,,Fairbanks North Star Borough,Alaska
0500000US02170,2015,,,,,,Matanuska-Susitna Borough,Alaska
0500000US04001,2015,,,,,,Apache County,Arizona
0500000US04003,2015,,,,,,Cochise County,Arizona
0500000US04005,2015,,,,,,Coconino County,Arizona
0500000US04013,2015,,,,,,Maricopa County,Arizona
0500000US04015,2015,,,,,,Mohave County,Arizona
0500000US04017,2015,,,,,,Navajo County,Arizona
0500000US04019,2015,,,,,,Pima County,Arizona
0500000US04021,2015,,,,,,Pinal County,Arizona
0500000US04025,2015,,,,,,Yavapai County,Arizona
0500000US04027,2015,,,,,,Yuma County,Arizona
0500000US05007,2015,,,,,,Benton County,Arkansas
0500000US05031,2015,,,,,,Craighead County,Arkansas
0500000US05045,2015,,,,,,Faulkner County,Arkansas
0500000US05051,2015,,,,,,Garland County,Arkansas
0500000US05069,2015,,,,,,Jefferson County,Arkansas
0500000US05085,2015,,,,,,Lonoke County,Arkansas
0500000US05119,2015,,,,,,Pulaski County,Arkansas
0500000US05125,2015,,,,,,Saline County,Arkansas
0500000US05131,2015,,,,,,Sebastian County,Arkansas
0500000US05143,2015,,,,,,Washington County,Arkansas
0500000US05145,2015,,,,,,White County,Arkansas
0500000US06001,2015,,,,,,Alameda County,California
0500000US06007,2015,,,,,,Butte County,California
0500000US06013,2015,,,,,,Contra Costa County,California
