Geography,Moved within same county,Moved from different county within same state,Moved from different state,Moved from abroad,Year,RegionName,State
0500000US01003,10040.0,5126.0,5613.0,98.0,2014,Baldwin County,Alabama
0500000US01015,,,,,2014,Calhoun County,Alabama
0500000US01043,,,,,2014,Cullman County,Alabama
0500000US01049,,,,,2014,DeKalb County,Alabama
0500000US01051,,,,,2014,Elmore County,Alabama
0500000US01055,,,,,2014,Etowah County,Alabama
0500000US01069,9473.0,2992.0,2856.0,112.0,2014,Houston County,Alabama
0500000US01073,78274.0,19301.0,12683.0,2188.0,2014,Jefferson County,Alabama
0500000US01077,,,,,2014,Lauderdale County,Alabama
0500000US01081,19447.0,9232.0,5831.0,864.0,2014,Lee County,Alabama
0500000US01083,,,,,2014,Limestone County,Alabama
0500000US01089,38456.0,6317.0,9104.0,1252.0,2014,Madison County,Alabama
0500000US01095,10823.0,4426.0,1120.0,279.0,2014,Marshall County,Alabama
0500000US01097,44522.0,3409.0,7855.0,815.0,2014,Mobile County,Alabama
0500000US01101,30778.0,9813.0,7594.0,2141.0,2014,Montgomery County,Alabama
0500000US01103,,,,,2014,Morgan County,Alabama
0500000US01115,,,,,2014,St. Clair County,Alabama
0500000US01117,14550.0,7726.0,6774.0,690.0,2014,Shelby County,Alabama
0500000US01121,,,,,2014,Talladega County,Alabama
0500000US01125,,,,,2014,Tuscaloosa County,Alabama
0500000US01127,,,,,2014,Walker County,Alabama
0500000US02020,33679.0,6131.0,14664.0,1941.0,2014,Anchorage Municipality,Alaska
0500000US02090,,,,,2014,Fairbanks North Star Borough,Alaska
0500000US02170,9254.0,3360.0,3912.0,176.0,2014,Matanuska-Susitna Borough,Alaska
0500000US04001,,,,,2014,Apache County,Arizona
0500000US04003,10499.0,4957.0,7783.0,531.0,2014,Cochise County,Arizona
0500000US04005,12413.0,7230.0,6973.0,492.0,2014,Coconino County,Arizona
0500000US04013,509985.0,40906.0,145727.0,29452.0,2014,Maricopa County,Arizona
0500000US04015,20459.0,2558.0,14380.0,246.0,2014,Mohave County,Arizona
0500000US04017,,,,,2014,Navajo County,Arizona
0500000US04019,158807.0,16360.0,33226.0,7309.0,2014,Pima County,Arizona
0500000US04021,28262.0,22837.0,18598.0,5359.0,2014,Pinal County,Arizona
0500000US04025,16344.0,9089.0,8634.0,718.0,2014,Yavapai County,Arizona
0500000US04027,22026.0,3843.0,8736.0,3262.0,2014,Yuma County,Arizona
0500000US05007,21978.0,7433.0,9521.0,1889.0,2014,Benton County,Arkansas
0500000US05031,,,,,2014,Craighead County,Arkansas
0500000US05045,13823.0,7782.0,2831.0,214.0,2014,Faulkner County,Arkansas
0500000US05051,,,,,2014,Garland County,Arkansas
0500000US05069,,,,,2014,Jefferson County,Arkansas
0500000US05085,,,,,2014,Lonoke County,Arkansas
0500000US05119,46162.0,9264.0,8239.0,2957.0,2014,Pulaski County,Arkansas
0500000US05125,,,,,2014,Saline County,Arkansas
0500000US05131,,,,,2014,Sebastian County,Arkansas
0500000US05143,27984.0,6270.0,7848.0,969.0,2014,Washington County,Arkansas
0500000US05145,,,,,2014,White County,Arkansas
0500000US06001,119446.0,60961.0,26800.0,22993.0,2014,Alameda County,California
0500000US06007,27413.0,11610.0,3619.0,510.0,2014,Butte County,California
0500000US06013,84667.0,42809.0,11268.0,13280.0,2014,Contra Costa County,California
0500000US06017,9158.0,6369.0,1921.0,1311.0,2014,El Dorado County,California
0500000US06019,121856.0,26296.0,4507.0,6401.0,2014,Fresno County,California
0500000US06023,19217.0,7083.0,3733.0,135.0,2014,Humboldt County,California
0500000US06025,,,,,2014,Imperial County,California
0500000US06029,96621.0,31447.0,9331.0,4605.0,2014,Kern County,California
0500000US06031,16942.0,12250.0,3115.0,1190.0,2014,Kings County,California
0500000US06033,,,,,2014,Lake County,California
0500000US06037,932699.0,114672.0,92069.0,79168.0,2014,Los Angeles County,California
0500000US06039,,,,,2014,Madera County,California
0500000US06041,13574.0,13854.0,3086.0,4246.0,2014,Marin County,California
0500000US06045,,,,,2014,Mendocino County,California
0500000US06047,35379.0,11862.0,3447.0,428.0,2014,Merced County,California
0500000US06053,28250.0,12575.0,9368.0,2417.0,2014,Monterey County,California
0500000US06055,12158.0,4581.0,1853.0,699.0,2014,Napa County,California
0500000US06057,,,,,2014,Nevada County,California
0500000US06059,277363.0,70927.0,37467.0,24992.0,2014,Orange County,California
0500000US06061,26748.0,14162.0,4504.0,1650.0,2014,Placer County,California
0500000US06065,212571.0,93639.0,28947.0,12553.0,2014,Riverside County,California
0500000US06067,170108.0,58394.0,23908.0,8635.0,2014,Sacramento County,California
0500000US06071,188368.0,80465.0,28667.0,11129.0,2014,San Bernardino County,California
0500000US06073,347308.0,50574.0,77257.0,33151.0,2014,San Diego County,California
0500000US06075,55921.0,32050.0,16790.0,12008.0,2014,San Francisco County,California
0500000US06077,77753.0,28374.0,8330.0,2241.0,2014,San Joaquin County,California
0500000US06079,30753.0,14927.0,6311.0,1623.0,2014,San Luis Obispo County,California
0500000US06081,45923.0,30408.0,8953.0,9264.0,2014,San Mateo County,California
0500000US06083,58363.0,20238.0,7128.0,4292.0,2014,Santa Barbara County,California
0500000US06085,150752.0,41745.0,34172.0,33526.0,2014,Santa Clara County,California
0500000US06087,18751.0,13680.0,2538.0,1601.0,2014,Santa Cruz County,California
0500000US06089,15750.0,10213.0,3963.0,346.0,2014,Shasta County,California
0500000US06095,37536.0,20734.0,6965.0,3105.0,2014,Solano County,California
0500000US06097,48021.0,20691.0,6620.0,1602.0,2014,Sonoma County,California
0500000US06099,55929.0,17123.0,6461.0,3276.0,2014,Stanislaus County,California
0500000US06101,,,,,2014,Sutter County,California
0500000US06107,41806.0,12163.0,2195.0,2186.0,2014,Tulare County,California
0500000US06111,68830.0,22783.0,10125.0,4436.0,2014,Ventura County,California
0500000US06113,21279.0,20497.0,2910.0,2640.0,2014,Yolo County,California
0500000US06115,,,,,2014,Yuba County,California
0500000US08001,36025.0,28419.0,9802.0,2031.0,2014,Adams County,Colorado
0500000US08005,57192.0,38762.0,23997.0,3790.0,2014,Arapahoe County,Colorado
0500000US08013,33436.0,18553.0,16878.0,3924.0,2014,Boulder County,Colorado
0500000US08031,73923.0,49885.0,27695.0,6394.0,2014,Denver County,Colorado
0500000US08035,18806.0,14057.0,16346.0,2077.0,2014,Douglas County,Colorado
0500000US08041,95684.0,14703.0,41714.0,5845.0,2014,El Paso County,Colorado
0500000US08059,36200.0,28142.0,16212.0,2232.0,2014,Jefferson County,Colorado
0500000US08069,39125.0,13711.0,16681.0,1486.0,2014,Larimer County,Colorado
0500000US08077,19184.0,4578.0,5254.0,1048.0,2014,Mesa County,Colorado
0500000US08101,16989.0,5687.0,3719.0,433.0,2014,Pueblo County,Colorado
0500000US08123,25149.0,16069.0,7209.0,1467.0,2014,Weld County,Colorado
0500000US09001,66629.0,6715.0,26685.0,12249.0,2014,Fairfield County,Connecticut
0500000US09003,79163.0,12992.0,17906.0,7766.0,2014,Hartford County,Connecticut
0500000US09005,10816.0,4565.0,1247.0,575.0,2014,Litchfield County,Connecticut
0500000US09007,10575.0,5057.0,2798.0,581.0,2014,Middlesex County,Connecticut
0500000US09009,66577.0,12161.0,16700.0,6619.0,2014,New Haven County,Connecticut
0500000US09011,23467.0,7164.0,11228.0,967.0,2014,New London County,Connecticut
0500000US09013,7043.0,9959.0,4352.0,776.0,2014,Tolland County,Connecticut
0500000US09015,,,,,2014,Windham County,Connecticut
0500000US10001,15032.0,3214.0,7627.0,730.0,2014,Kent County,Delaware
0500000US10003,41971.0,3837.0,17820.0,3382.0,2014,New Castle County,Delaware
0500000US10005,10891.0,2301.0,6719.0,341.0,2014,Sussex County,Delaware
0500000US11001,67286.0,0.0,56234.0,11432.0,2014,District of Columbia,District of Columbia
0500000US12001,36231.0,17973.0,7245.0,2602.0,2014,Alachua County,Florida
0500000US12005,20727.0,5101.0,8586.0,2462.0,2014,Bay County,Florida
0500000US12009,57506.0,12435.0,19606.0,2995.0,2014,Brevard County,Florida
0500000US12011,204401.0,42061.0,36044.0,27856.0,2014,Broward County,Florida
0500000US12015,11888.0,7245.0,7752.0,1725.0,2014,Charlotte County,Florida
0500000US12017,15073.0,3604.0,3269.0,680.0,2014,Citrus County,Florida
0500000US12019,13845.0,11109.0,7886.0,535.0,2014,Clay County,Florida
0500000US12021,24888.0,10175.0,13120.0,5982.0,2014,Collier County,Florida
0500000US12023,,,,,2014,Columbia County,Florida
0500000US12031,124410.0,23001.0,30557.0,5129.0,2014,Duval County,Florida
0500000US12033,25993.0,8750.0,20057.0,1269.0,2014,Escambia County,Florida
0500000US12035,,,,,2014,Flagler County,Florida
0500000US12053,9476.0,5224.0,3192.0,602.0,2014,Hernando County,Florida
0500000US12055,,,,,2014,Highlands County,Florida
0500000US12057,140291.0,35228.0,37591.0,13423.0,2014,Hillsborough County,Florida
0500000US12061,,,,,2014,Indian River County,Florida
0500000US12069,24479.0,18478.0,10306.0,1480.0,2014,Lake County,Florida
0500000US12071,69682.0,16274.0,25110.0,5194.0,2014,Lee County,Florida
0500000US12073,43828.0,22896.0,9673.0,3105.0,2014,Leon County,Florida
0500000US12081,30427.0,9708.0,13116.0,2644.0,2014,Manatee County,Florida
0500000US12083,23684.0,11225.0,10564.0,2077.0,2014,Marion County,Florida
0500000US12085,8123.0,8443.0,4215.0,703.0,2014,Martin County,Florida
0500000US12086,232757.0,24648.0,19832.0,42410.0,2014,Miami-Dade County,Florida
0500000US12087,,,,,2014,Monroe County,Florida
0500000US12089,,,,,2014,Nassau County,Florida
0500000US12091,16271.0,5468.0,10529.0,1762.0,2014,Okaloosa County,Florida
0500000US12095,129026.0,50721.0,37374.0,19690.0,2014,Orange County,Florida
0500000US12097,22346.0,9400.0,7421.0,5301.0,2014,Osceola County,Florida
0500000US12099,139387.0,36872.0,34483.0,14534.0,2014,Palm Beach County,Florida
0500000US12101,23076.0,17849.0,13110.0,1606.0,2014,Pasco County,Florida
0500000US12103,82191.0,21143.0,30465.0,6733.0,2014,Pinellas County,Florida
0500000US12105,65298.0,18662.0,15619.0,3234.0,2014,Polk County,Florida
0500000US12107,,,,,2014,Putnam County,Florida
0500000US12109,15518.0,12426.0,8324.0,1994.0,2014,St. Johns County,Florida
0500000US12111,19787.0,5667.0,6722.0,962.0,2014,St. Lucie County,Florida
0500000US12113,14060.0,7199.0,11030.0,1304.0,2014,Santa Rosa County,Florida
0500000US12115,37234.0,14536.0,14798.0,2528.0,2014,Sarasota County,Florida
0500000US12117,27365.0,24299.0,11408.0,5449.0,2014,Seminole County,Florida
0500000US12119,,,,,2014,Sumter County,Florida
0500000US12127,31556.0,13623.0,19616.0,2524.0,2014,Volusia County,Florida
0500000US13013,,,,,2014,Barrow County,Georgia
0500000US13015,,,,,2014,Bartow County,Georgia
