Geography,Public Transport,Year,RegionName,State
0500000US01003,,2018,Baldwin County,Alabama
0500000US01015,,2018,Calhoun County,Alabama
0500000US01043,,2018,Cullman County,Alabama
0500000US01049,,2018,DeKalb County,Alabama
0500000US01051,,2018,Elmore County,Alabama
0500000US01055,,2018,Etowah County,Alabama
0500000US01069,,2018,Houston County,Alabama
0500000US01073,2587.0,2018,Jefferson County,Alabama
0500000US01077,,2018,Lauderdale County,Alabama
0500000US01081,,2018,Lee County,Alabama
0500000US01083,,2018,Limestone County,Alabama
0500000US01089,,2018,Madison County,Alabama
0500000US01095,,2018,Marshall County,Alabama
0500000US01097,481.0,2018,Mobile County,Alabama
0500000US01101,,2018,Montgomery County,Alabama
0500000US01103,,2018,Morgan County,Alabama
0500000US01115,,2018,St. Clair County,Alabama
0500000US01117,,2018,Shelby County,Alabama
0500000US01121,,2018,Talladega County,Alabama
0500000US01125,,2018,Tuscaloosa County,Alabama
0500000US01127,,2018,Walker County,Alabama
0500000US02020,1928.0,2018,Anchorage Municipality,Alaska
0500000US02090,708.0,2018,Fairbanks North Star Borough,Alaska
0500000US02170,491.0,2018,Matanuska-Susitna Borough,Alaska
0500000US04001,,2018,Apache County,Arizona
0500000US04003,,2018,Cochise County,Arizona
0500000US04005,1547.0,2018,Coconino County,Arizona
0500000US04013,40317.0,2018,Maricopa County,Arizona
0500000US04015,407.0,2018,Mohave County,Arizona
0500000US04017,,2018,Navajo County,Arizona
0500000US04019,9647.0,2018,Pima County,Arizona
0500000US04021,313.0,2018,Pinal County,Arizona
0500000US04025,,2018,Yavapai County,Arizona
0500000US04027,575.0,2018,Yuma County,Arizona
0500000US05007,188.0,2018,Benton County,Arkansas
0500000US05031,,2018,Craighead County,Arkansas
0500000US05045,,2018,Faulkner County,Arkansas
0500000US05051,,2018,Garland County,Arkansas
0500000US05069,,2018,Jefferson County,Arkansas
0500000US05085,,2018,Lonoke County,Arkansas
0500000US05119,1234.0,2018,Pulaski County,Arkansas
0500000US05125,,2018,Saline County,Arkansas
0500000US05131,,2018,Sebastian County,Arkansas
0500000US05143,899.0,2018,Washington County,Arkansas
0500000US05145,,2018,White County,Arkansas
0500000US06001,125492.0,2018,Alameda County,California
0500000US06007,1228.0,2018,Butte County,California
0500000US06013,63005.0,2018,Contra Costa County,California
0500000US06017,1631.0,2018,El Dorado County,California
0500000US06019,4246.0,2018,Fresno County,California
0500000US06023,,2018,Humboldt County,California
0500000US06025,,2018,Imperial County,California
0500000US06029,2949.0,2018,Kern County,California
0500000US06031,253.0,2018,Kings County,California
0500000US06033,,2018,Lake County,California
0500000US06037,277248.0,2018,Los Angeles County,California
0500000US06039,,2018,Madera County,California
0500000US06041,11031.0,2018,Marin County,California
0500000US06045,,2018,Mendocino County,California
0500000US06047,681.0,2018,Merced County,California
0500000US06053,2596.0,2018,Monterey County,California
0500000US06055,1435.0,2018,Napa County,California
0500000US06057,,2018,Nevada County,California
0500000US06059,32483.0,2018,Orange County,California
0500000US06061,1962.0,2018,Placer County,California
0500000US06065,12179.0,2018,Riverside County,California
0500000US06067,16165.0,2018,Sacramento County,California
0500000US06071,12534.0,2018,San Bernardino County,California
0500000US06073,43630.0,2018,San Diego County,California
0500000US06075,175897.0,2018,San Francisco County,California
0500000US06077,5020.0,2018,San Joaquin County,California
0500000US06079,864.0,2018,San Luis Obispo County,California
0500000US06081,43049.0,2018,San Mateo County,California
0500000US06083,5029.0,2018,Santa Barbara County,California
0500000US06085,40195.0,2018,Santa Clara County,California
0500000US06087,3361.0,2018,Santa Cruz County,California
0500000US06089,535.0,2018,Shasta County,California
0500000US06095,7116.0,2018,Solano County,California
0500000US06097,5287.0,2018,Sonoma County,California
0500000US06099,2210.0,2018,Stanislaus County,California
0500000US06101,,2018,Sutter County,California
0500000US06107,1951.0,2018,Tulare County,California
0500000US06111,4387.0,2018,Ventura County,California
0500000US06113,4371.0,2018,Yolo County,California
0500000US06115,,2018,Yuba County,California
0500000US08001,9124.0,2018,Adams County,Colorado
0500000US08005,12829.0,2018,Arapahoe County,Colorado
0500000US08013,8696.0,2018,Boulder County,Colorado
0500000US08014,,2018,Broomfield County,Colorado
0500000US08031,24128.0,2018,Denver County,Colorado
0500000US08035,3574.0,2018,Douglas County,Colorado
0500000US08041,2189.0,2018,El Paso County,Colorado
0500000US08059,9320.0,2018,Jefferson County,Colorado
0500000US08069,2067.0,2018,Larimer County,Colorado
0500000US08077,263.0,2018,Mesa County,Colorado
0500000US08101,,2018,Pueblo County,Colorado
0500000US08123,786.0,2018,Weld County,Colorado
0500000US09001,44809.0,2018,Fairfield County,Connecticut
0500000US09003,14497.0,2018,Hartford County,Connecticut
0500000US09005,,2018,Litchfield County,Connecticut
0500000US09007,,2018,Middlesex County,Connecticut
0500000US09009,15721.0,2018,New Haven County,Connecticut
0500000US09011,1886.0,2018,New London County,Connecticut
0500000US09013,,2018,Tolland County,Connecticut
0500000US09015,275.0,2018,Windham County,Connecticut
0500000US10001,655.0,2018,Kent County,Delaware
0500000US10003,8973.0,2018,New Castle County,Delaware
0500000US10005,128.0,2018,Sussex County,Delaware
0500000US11001,130216.0,2018,District of Columbia,District of Columbia
0500000US12001,3713.0,2018,Alachua County,Florida
0500000US12005,544.0,2018,Bay County,Florida
0500000US12009,1687.0,2018,Brevard County,Florida
0500000US12011,22669.0,2018,Broward County,Florida
0500000US12015,,2018,Charlotte County,Florida
0500000US12017,,2018,Citrus County,Florida
0500000US12019,,2018,Clay County,Florida
0500000US12021,1051.0,2018,Collier County,Florida
0500000US12023,,2018,Columbia County,Florida
0500000US12031,6344.0,2018,Duval County,Florida
0500000US12033,1242.0,2018,Escambia County,Florida
0500000US12035,,2018,Flagler County,Florida
0500000US12053,,2018,Hernando County,Florida
0500000US12055,,2018,Highlands County,Florida
0500000US12057,9839.0,2018,Hillsborough County,Florida
0500000US12061,,2018,Indian River County,Florida
0500000US12069,,2018,Lake County,Florida
0500000US12071,1243.0,2018,Lee County,Florida
0500000US12073,3504.0,2018,Leon County,Florida
0500000US12081,706.0,2018,Manatee County,Florida
0500000US12083,,2018,Marion County,Florida
0500000US12085,,2018,Martin County,Florida
0500000US12086,61974.0,2018,Miami-Dade County,Florida
0500000US12087,219.0,2018,Monroe County,Florida
0500000US12089,,2018,Nassau County,Florida
0500000US12091,749.0,2018,Okaloosa County,Florida
0500000US12095,11553.0,2018,Orange County,Florida
0500000US12097,,2018,Osceola County,Florida
0500000US12099,9163.0,2018,Palm Beach County,Florida
0500000US12101,1278.0,2018,Pasco County,Florida
0500000US12103,7362.0,2018,Pinellas County,Florida
0500000US12105,945.0,2018,Polk County,Florida
0500000US12107,,2018,Putnam County,Florida
0500000US12109,,2018,St. Johns County,Florida
0500000US12111,478.0,2018,St. Lucie County,Florida
0500000US12113,,2018,Santa Rosa County,Florida
0500000US12115,1135.0,2018,Sarasota County,Florida
0500000US12117,1764.0,2018,Seminole County,Florida
0500000US12119,,2018,Sumter County,Florida
0500000US12127,1598.0,2018,Volusia County,Florida
0500000US12131,,2018,Walton County,Florida
0500000US13013,,2018,Barrow County,Georgia
0500000US13015,,2018,Bartow County,Georgia
0500000US13021,,2018,Bibb County,Georgia
0500000US13031,,2018,Bulloch County,Georgia
0500000US13045,,2018,Carroll County,Georgia
0500000US13047,,2018,Catoosa County,Georgia
0500000US13051,2234.0,2018,Chatham County,Georgia
0500000US13057,,2018,Cherokee County,Georgia
0500000US13059,2253.0,2018,Clarke County,Georgia
0500000US13063,5295.0,2018,Clayton County,Georgia
0500000US13067,4548.0,2018,Cobb County,Georgia
0500000US13073,,2018,Columbia County,Georgia
0500000US13077,,2018,Coweta County,Georgia
0500000US13089,29413.0,2018,DeKalb County,Georgia
0500000US13095,,2018,Dougherty County,Georgia
0500000US13097,,2018,Douglas County,Georgia
0500000US13113,,2018,Fayette County,Georgia
0500000US13115,,2018,Floyd County,Georgia
0500000US13117,1111.0,2018,Forsyth County,Georgia
0500000US13121,39705.0,2018,Fulton County,Georgia
0500000US13127,,2018,Glynn County,Georgia
0500000US13135,3706.0,2018,Gwinnett County,Georgia
0500000US13139,357.0,2018,Hall County,Georgia
0500000US13151,,2018,Henry County,Georgia
0500000US13153,,2018,Houston County,Georgia
0500000US13157,,2018,Jackson County,Georgia
0500000US13185,,2018,Lowndes County,Georgia
0500000US13215,942.0,2018,Muscogee County,Georgia
0500000US13217,,2018,Newton County,Georgia
0500000US13223,,2018,Paulding County,Georgia
0500000US13245,,2018,Richmond County,Georgia
0500000US13247,,2018,Rockdale County,Georgia
0500000US13255,,2018,Spalding County,Georgia
0500000US13285,,2018,Troup County,Georgia
0500000US13295,,2018,Walker County,Georgia
0500000US13297,,2018,Walton County,Georgia
0500000US13313,,2018,Whitfield County,Georgia
0500000US15001,1054.0,2018,Hawaii County,Hawaii
0500000US15003,36221.0,2018,Honolulu County,Hawaii
0500000US15007,,2018,Kauai County,Hawaii
0500000US15009,2783.0,2018,Maui County,Hawaii
0500000US16001,829.0,2018,Ada County,Idaho
0500000US16005,,2018,Bannock County,Idaho
0500000US16019,1718.0,2018,Bonneville County,Idaho
0500000US16027,,2018,Canyon County,Idaho
0500000US16055,,2018,Kootenai County,Idaho
0500000US16083,,2018,Twin Falls County,Idaho
0500000US17001,,2018,Adams County,Illinois
0500000US17019,,2018,Champaign County,Illinois
0500000US17031,483483.0,2018,Cook County,Illinois
0500000US17037,,2018,DeKalb County,Illinois
0500000US17043,33688.0,2018,DuPage County,Illinois
0500000US17089,6423.0,2018,Kane County,Illinois
0500000US17091,,2018,Kankakee County,Illinois
0500000US17093,,2018,Kendall County,Illinois
0500000US17097,17729.0,2018,Lake County,Illinois
0500000US17099,,2018,LaSalle County,Illinois
0500000US17111,4036.0,2018,McHenry County,Illinois
0500000US17113,693.0,2018,McLean County,Illinois
0500000US17115,,2018,Macon County,Illinois
0500000US17119,1476.0,2018,Madison County,Illinois
0500000US17143,,2018,Peoria County,Illinois
0500000US17161,,2018,Rock Island County,Illinois
0500000US17163,2424.0,2018,St. Clair County,Illinois
0500000US17167,,2018,Sangamon County,Illinois
0500000US17179,,2018,Tazewell County,Illinois
0500000US17183,,2018,Vermilion County,Illinois
0500000US17197,15076.0,2018,Will County,Illinois
0500000US17199,,2018,Williamson County,Illinois
0500000US17201,1397.0,2018,Winnebago County,Illinois
0500000US18003,915.0,2018,Allen County,Indiana
0500000US18005,,2018,Bartholomew County,Indiana
0500000US18011,,2018,Boone County,Indiana
0500000US18019,,2018,Clark County,Indiana
0500000US18035,993.0,2018,Delaware County,Indiana
0500000US18039,141.0,2018,Elkhart County,Indiana
0500000US18043,,2018,Floyd County,Indiana
0500000US18053,,2018,Grant County,Indiana
0500000US18057,,2018,Hamilton County,Indiana
0500000US18059,,2018,Hancock County,Indiana
0500000US18063,,2018,Hendricks County,Indiana
0500000US18067,,2018,Howard County,Indiana
0500000US18081,,2018,Johnson County,Indiana
0500000US18085,,2018,Kosciusko County,Indiana
0500000US18089,6537.0,2018,Lake County,Indiana
0500000US18091,,2018,LaPorte County,Indiana
0500000US18095,,2018,Madison County,Indiana
0500000US18097,8139.0,2018,Marion County,Indiana
0500000US18105,,2018,Monroe County,Indiana
0500000US18109,,2018,Morgan County,Indiana
0500000US18127,,2018,Porter County,Indiana
0500000US18141,1167.0,2018,St. Joseph County,Indiana
0500000US18157,,2018,Tippecanoe County,Indiana
0500000US18163,,2018,Vanderburgh County,Indiana
0500000US18167,,2018,Vigo County,Indiana
0500000US18177,,2018,Wayne County,Indiana
0500000US19013,216.0,2018,Black Hawk County,Iowa
0500000US19049,,2018,Dallas County,Iowa
0500000US19061,,2018,Dubuque County,Iowa
0500000US19103,4074.0,2018,Johnson County,Iowa
0500000US19113,382.0,2018,Linn County,Iowa
0500000US19153,3723.0,2018,Polk County,Iowa
0500000US19155,,2018,Pottawattamie County,Iowa
0500000US19163,,2018,Scott County,Iowa
0500000US19169,3916.0,2018,Story County,Iowa
0500000US19193,,2018,Woodbury County,Iowa
0500000US20015,,2018,Butler County,Kansas
0500000US20045,2026.0,2018,Douglas County,Kansas
0500000US20091,1247.0,2018,Johnson County,Kansas
0500000US20103,,2018,Leavenworth County,Kansas
0500000US20161,,2018,Riley County,Kansas
0500000US20173,1144.0,2018,Sedgwick County,Kansas
0500000US20177,,2018,Shawnee County,Kansas
0500000US20209,569.0,2018,Wyandotte County,Kansas
0500000US21015,,2018,Boone County,Kentucky
0500000US21029,,2018,Bullitt County,Kentucky
0500000US21037,,2018,Campbell County,Kentucky
